longitude,latitude,altitude,yaw,state_x,state_y,state_yaw
0.211875,-0.0333136,0.159,0.0258441,0.200557,-0.0317384,1.58028
0.211875,-0.0333136,0.159,0.0258654,0.201215,-0.0316983,1.58028
0.211875,-0.0333136,0.159,0.0258946,0.201835,-0.0316605,1.58027
0.211875,-0.0333136,0.159,0.025912,0.202418,-0.0316249,1.58027
0.211875,-0.0333136,0.159,0.0259411,0.202967,-0.0315912,1.58026
0.211875,-0.0333136,0.159,0.0259717,0.203485,-0.0315597,1.58026
0.211875,-0.0333136,0.159,0.0259845,0.203972,-0.03153,1.58025
0.211875,-0.0333136,0.159,0.0260147,0.204431,-0.031502,1.58025
0.211875,-0.0333136,0.159,0.0260629,0.204863,-0.0314756,1.58024
0.211875,-0.0333136,0.159,0.0260883,0.20527,-0.0314508,1.58024
0.211875,-0.0333136,0.159,0.0261008,0.205654,-0.0314274,1.58023
0.211875,-0.0333136,0.159,0.0261241,0.206015,-0.0314054,1.58023
0.211875,-0.0333136,0.159,0.0261425,0.206355,-0.0313847,1.58023
0.211875,-0.0333136,0.159,0.026176,0.206675,-0.0313652,1.58022
0.211875,-0.0333136,0.159,0.026207,0.206976,-0.0313464,1.58022
0.228825,-0.0333136,0.175,0.0266586,0.208248,-0.0313667,1.5802
0.228825,-0.0333136,0.175,0.0266727,0.209445,-0.0313859,1.58019
0.228825,-0.0333136,0.175,0.0266977,0.210573,-0.0314039,1.58018
0.228825,-0.0333136,0.175,0.0267052,0.211634,-0.031421,1.58016
0.228825,-0.0333136,0.175,0.0267259,0.212635,-0.031437,1.58015
0.228825,-0.0333136,0.175,0.0267329,0.213576,-0.0314521,1.58014
